class,subclass,order,suborder,family,subfamily,genus,curator_1,curator_2,curator_3,curator_4,curator_5,first_pass_done
Lycopodiopsida,NA,Lycopodiales,NA,Lycopodiaceae,Huperzioideae,Huperzia,NA,NA,NA,NA,NA,NA
Lycopodiopsida,NA,Lycopodiales,NA,Lycopodiaceae,Huperzioideae,Phlegmariurus,Ashley Field,Thaís Elias Almeida,NA,NA,NA,NA
Lycopodiopsida,NA,Lycopodiales,NA,Lycopodiaceae,Huperzioideae,Phylloglossum,NA,NA,NA,NA,NA,NA
Lycopodiopsida,NA,Lycopodiales,NA,Lycopodiaceae,Lycopodielloideae,Lateristachys,NA,NA,NA,NA,NA,NA
Lycopodiopsida,NA,Lycopodiales,NA,Lycopodiaceae,Lycopodielloideae,Lycopodiella,NA,NA,NA,NA,NA,NA
Lycopodiopsida,NA,Lycopodiales,NA,Lycopodiaceae,Lycopodielloideae,Palhinhaea,NA,NA,NA,NA,NA,NA
Lycopodiopsida,NA,Lycopodiales,NA,Lycopodiaceae,Lycopodielloideae,Pseudolycopodiella,NA,NA,NA,NA,NA,NA
Lycopodiopsida,NA,Lycopodiales,NA,Lycopodiaceae,Lycopodioideae,Austrolycopodium,Marcelo Arana,NA,NA,NA,NA,NA
Lycopodiopsida,NA,Lycopodiales,NA,Lycopodiaceae,Lycopodioideae,Dendrolycopodium,NA,NA,NA,NA,NA,NA
Lycopodiopsida,NA,Lycopodiales,NA,Lycopodiaceae,Lycopodioideae,Diphasiastrum,NA,NA,NA,NA,NA,NA
Lycopodiopsida,NA,Lycopodiales,NA,Lycopodiaceae,Lycopodioideae,Diphasium,NA,NA,NA,NA,NA,NA
Lycopodiopsida,NA,Lycopodiales,NA,Lycopodiaceae,Lycopodioideae,Lycopodiastrum,NA,NA,NA,NA,NA,NA
Lycopodiopsida,NA,Lycopodiales,NA,Lycopodiaceae,Lycopodioideae,Lycopodium,NA,NA,NA,NA,NA,NA
Lycopodiopsida,NA,Lycopodiales,NA,Lycopodiaceae,Lycopodioideae,Pseudodiphasium,NA,NA,NA,NA,NA,NA
Lycopodiopsida,NA,Lycopodiales,NA,Lycopodiaceae,Lycopodioideae,Pseudolycopodium,NA,NA,NA,NA,NA,NA
Lycopodiopsida,NA,Lycopodiales,NA,Lycopodiaceae,Lycopodioideae,Spinulum,NA,NA,NA,NA,NA,NA
Lycopodiopsida,NA,Isoetales,NA,Isoetaceae,NA,Isoetes,Jovani Bernardino de Souza Pereira,Angelo TROIA,NA,NA,NA,NA
Lycopodiopsida,NA,Selaginellales,NA,Selaginellaceae,NA,Selaginella,Alexandre Salino,NA,NA,NA,NA,NA
Polypodiopsida,Equisetidae,Equisetales,NA,Equisetaceae,NA,Equisetum,NA,NA,NA,NA,NA,NA
Polypodiopsida,Ophioglossidae,Psilotales,NA,Psilotaceae,NA,Psilotum,J. Daniel Tejero-Díez,NA,NA,NA,NA,NA
Polypodiopsida,Ophioglossidae,Psilotales,NA,Psilotaceae,NA,Tmesipteris,NA,NA,NA,NA,NA,NA
Polypodiopsida,Ophioglossidae,Ophioglossales,NA,Ophioglossaceae,Botrychioideae,Botrychium,Esteban Ismael Meza-Torres,Benjamin Dauphin,NA,NA,NA,NA
Polypodiopsida,Ophioglossidae,Ophioglossales,NA,Ophioglossaceae,Botrychioideae,Botrypus,Esteban Ismael Meza-Torres,Benjamin Dauphin,NA,NA,NA,NA
Polypodiopsida,Ophioglossidae,Ophioglossales,NA,Ophioglossaceae,Botrychioideae,Japanobotrychium,Esteban Ismael Meza-Torres,Benjamin Dauphin,NA,NA,NA,NA
Polypodiopsida,Ophioglossidae,Ophioglossales,NA,Ophioglossaceae,Botrychioideae,Sahashia,Esteban Ismael Meza-Torres,Benjamin Dauphin,NA,NA,NA,NA
